"","indic_is.ind_type.unit.geo.time","X2017","X2016","X2015","X2014","X2013","X2012","X2011","X2010","X2009","X2008","X2007","X2006","X2005","X2004","X2003","X2002"
"328","I_B3_12,CC_EU_FOR,PC_IND,NL","5 ","9 ","17 ","12 u","9 u","21 u","12 u","10 u",": ",": ",": ",": ",": ",": ",": ",": "
"329","I_B3_12,CC_EU_FOR,PC_IND,NO","12 ","12 u","12 u","17 u","10 u","15 u","11 u","20 ",": ",": ",": ",": ",": ",": ",": ",": "
"330","I_B3_12,CC_EU_FOR,PC_IND,PL",": u",": ",": u",": u",": u",": u",": u",": ",": ",": ",": ",": ",": ",": ",": ",": "
"331","I_B3_12,CC_EU_FOR,PC_IND,PT","2 u","17 u","5 u","12 u","3 u","7 u","11 u",": u",": ",": ",": ",": ",": ",": ",": ",": "
"332","I_B3_12,CC_EU_FOR,PC_IND,RO",": ",": u",": ",": bu",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"333","I_B3_12,CC_EU_FOR,PC_IND,RS",": u",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"334","I_B3_12,CC_EU_FOR,PC_IND,SE",": u","15 bu","4 u","10 u","9 u",": u","9 ","19 ",": ",": ",": ",": ",": ",": ",": ",": "
"335","I_B3_12,CC_EU_FOR,PC_IND,SI",": u",": u",": u",": u",": u",": ",": u",": ",": ",": ",": ",": ",": ",": ",": ",": "
"336","I_B3_12,CC_EU_FOR,PC_IND,SK",": u",": u",": u",": u",": u",": u",": u","15 ",": ",": ",": ",": ",": ",": ",": ",": "
"337","I_B3_12,CC_EU_FOR,PC_IND,UK","9 ","4 ","6 ","7 ","14 ","11 u",": ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"338","I_B3_12,CC_EU_FOR,PC_IND_ILT12,AT","7 ","6 ","13 ","12 ","11 ","8 ","16 ",": u",": ",": ",": ",": ",": ",": ",": ",": "
"339","I_B3_12,CC_EU_FOR,PC_IND_ILT12,BE","15 ","10 ","15 ","14 ","16 ","12 ","13 ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"340","I_B3_12,CC_EU_FOR,PC_IND_ILT12,BG",": u",": u",": u",": u",": u",": u",": u","0 ",": ",": ",": ",": ",": ",": ",": ",": "
"341","I_B3_12,CC_EU_FOR,PC_IND_ILT12,CH","4 b",": ",": ","4 ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"342","I_B3_12,CC_EU_FOR,PC_IND_ILT12,CY","10 ","10 ","6 ","6 ","4 ","6 ","10 ","10 ",": ",": ",": ",": ",": ",": ",": ",": "
"343","I_B3_12,CC_EU_FOR,PC_IND_ILT12,CZ","30 u","23 u","18 u","12 u","36 u","15 u","7 u",": u",": ",": ",": ",": ",": ",": ",": ",": "
"344","I_B3_12,CC_EU_FOR,PC_IND_ILT12,DE","10 ","12 ","10 ","7 ","10 ","11 ","11 ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"345","I_B3_12,CC_EU_FOR,PC_IND_ILT12,DK","12 ","7 ","9 ","10 ","9 ","16 ",": ","14 ",": ",": ",": ",": ",": ",": ",": ",": "
"346","I_B3_12,CC_EU_FOR,PC_IND_ILT12,EA","12 ","13 ","15 ","12 ","10 ","11 ","12 ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"347","I_B3_12,CC_EU_FOR,PC_IND_ILT12,EE","14 u",": u",": u",": bu",": u",": u",": u",": u",": ",": ",": ",": ",": ",": ",": ",": "
"348","I_B3_12,CC_EU_FOR,PC_IND_ILT12,EL","0 u","3 u","8 u","7 u",": u",": u","0 u","16 ",": ",": ",": ",": ",": ",": ",": ",": "
"349","I_B3_12,CC_EU_FOR,PC_IND_ILT12,ES","13 ","13 ","17 ","14 ","10 ","13 ","12 ","9 ",": ",": ",": ",": ",": ",": ",": ",": "
"350","I_B3_12,CC_EU_FOR,PC_IND_ILT12,EU15","12 ","11 ","13 ","11 ","11 ","11 ","12 ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"351","I_B3_12,CC_EU_FOR,PC_IND_ILT12,EU27","12 ","11 ","13 ","11 ","11 ","11 ","12 ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"352","I_B3_12,CC_EU_FOR,PC_IND_ILT12,EU28","12 ","11 ","13 ","11 ","11 ","11 ","12 ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"353","I_B3_12,CC_EU_FOR,PC_IND_ILT12,FI","6 u","16 u",": u",": u",": u",": u",": u",": ",": ",": ",": ",": ",": ",": ",": ",": "
"354","I_B3_12,CC_EU_FOR,PC_IND_ILT12,FR","19 ","16 ","22 ","15 ","14 ","11 ","13 ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"355","I_B3_12,CC_EU_FOR,PC_IND_ILT12,HR",": u",": u",": u",": u",": u",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"356","I_B3_12,CC_EU_FOR,PC_IND_ILT12,HU",": u","13 u",": u",": u",": u",": u",": u","15 ",": ",": ",": ",": ",": ",": ",": ",": "
"357","I_B3_12,CC_EU_FOR,PC_IND_ILT12,IE","11 ","26 ","10 ","11 ","11 ","13 ","14 ","12 ",": ",": ",": ",": ",": ",": ",": ",": "
"358","I_B3_12,CC_EU_FOR,PC_IND_ILT12,IS","19 u",": ",": ",": u",": u","12 ","13 ",": u",": ",": ",": ",": ",": ",": ",": ",": "
"359","I_B3_12,CC_EU_FOR,PC_IND_ILT12,IT","11 ","10 ","12 ","9 ","5 ",": u","7 ",": u",": ",": ",": ",": ",": ",": ",": ",": "
"360","I_B3_12,CC_EU_FOR,PC_IND_ILT12,LT",": u",": u",": u","2 u",": u",": u",": u",": u",": ",": ",": ",": ",": ",": ",": ",": "
"361","I_B3_12,CC_EU_FOR,PC_IND_ILT12,LU","12 ","10 ","14 ","12 ","12 ","12 ","14 ","14 ",": ",": ",": ",": ",": ",": ",": ",": "
"362","I_B3_12,CC_EU_FOR,PC_IND_ILT12,LV",": u","17 bu",": u",": u",": u",": u",": u",": ",": ",": ",": ",": ",": ",": ",": ",": "
"363","I_B3_12,CC_EU_FOR,PC_IND_ILT12,MK",": u",": u",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"364","I_B3_12,CC_EU_FOR,PC_IND_ILT12,MT",": u","0 u","15 u","9 u","12 u",": u",": u","17 ",": ",": ",": ",": ",": ",": ",": ",": "
"365","I_B3_12,CC_EU_FOR,PC_IND_ILT12,NL","5 ","10 ","18 ","13 u","10 u","21 u","13 u","10 u",": ",": ",": ",": ",": ",": ",": ",": "
"366","I_B3_12,CC_EU_FOR,PC_IND_ILT12,NO","12 ","12 u","12 u","18 u","11 u","15 u","11 u","20 ",": ",": ",": ",": ",": ",": ",": ",": "
"367","I_B3_12,CC_EU_FOR,PC_IND_ILT12,PL",": u",": ",": u",": u",": u",": u",": u",": ",": ",": ",": ",": ",": ",": ",": ",": "
"368","I_B3_12,CC_EU_FOR,PC_IND_ILT12,PT","2 u","19 u","5 u","12 u","3 u","9 u","14 u",": u",": ",": ",": ",": ",": ",": ",": ",": "
"369","I_B3_12,CC_EU_FOR,PC_IND_ILT12,RO",": ",": u",": ",": bu",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"370","I_B3_12,CC_EU_FOR,PC_IND_ILT12,RS",": u",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"371","I_B3_12,CC_EU_FOR,PC_IND_ILT12,SE",": u","16 bu","4 u","10 u","10 u",": u","10 ","21 ",": ",": ",": ",": ",": ",": ",": ",": "
"372","I_B3_12,CC_EU_FOR,PC_IND_ILT12,SI",": u",": u",": u",": u",": u",": ",": u",": ",": ",": ",": ",": ",": ",": ",": ",": "
"373","I_B3_12,CC_EU_FOR,PC_IND_ILT12,SK",": u",": u",": u",": u",": u",": u",": u","20 ",": ",": ",": ",": ",": ",": ",": ",": "
"374","I_B3_12,CC_EU_FOR,PC_IND_ILT12,UK","9 ","4 ","6 ","7 ","14 ","13 u",": ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"375","I_B3_12,CC_EXT_EU,PC_IND,AT","11 ","20 ","26 ","3 ","4 ","18 u","6 u",": u",": ",": ",": ",": ",": ",": ",": ",": "
"376","I_B3_12,CC_EXT_EU,PC_IND,BE","18 ","5 ","12 ","12 ","7 ","9 ","7 ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"377","I_B3_12,CC_EXT_EU,PC_IND,BG","11 u","3 u",": u","24 u","15 u","2 u","3 u","0 ",": ",": ",": ",": ",": ",": ",": ",": "
"378","I_B3_12,CC_EXT_EU,PC_IND,CH","5 b",": ",": ","1 ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"379","I_B3_12,CC_EXT_EU,PC_IND,CY","6 ","4 ","2 ","5 ","2 ","1 ","5 ","3 ",": ",": ",": ",": ",": ",": ",": ",": "
"380","I_B3_12,CC_EXT_EU,PC_IND,CZ","15 u","16 ","16 u","15 u","26 u","11 u","20 u",": u",": ",": ",": ",": ",": ",": ",": ",": "
"381","I_B3_12,CC_EXT_EU,PC_IND,DE","11 ","10 ","10 ","13 ","9 ","7 ","15 ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"382","I_B3_12,CC_EXT_EU,PC_IND,DK","16 ","15 ","5 ","13 ","13 ","10 ",": ","13 ",": ",": ",": ",": ",": ",": ",": ",": "
"383","I_B3_12,CC_EXT_EU,PC_IND,EA","9 ","10 ","9 ","7 ","6 ","9 ","6 ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"384","I_B3_12,CC_EXT_EU,PC_IND,EE","11 ","9 ","8 ","6 b","4 ","2 ","2 ","2 ",": ",": ",": ",": ",": ",": ",": ",": "
"385","I_B3_12,CC_EXT_EU,PC_IND,EL","2 ","11 ","9 ","3 ","2 ","1 ","2 ","0 n",": ",": ",": ",": ",": ",": ",": ",": "
"386","I_B3_12,CC_EXT_EU,PC_IND,ES","10 ","9 ","7 ","7 ","7 ","8 ","4 ","5 ",": ",": ",": ",": ",": ",": ",": ",": "
"387","I_B3_12,CC_EXT_EU,PC_IND,EU15","9 ","8 ","8 ","7 ","6 ","8 ","6 ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"388","I_B3_12,CC_EXT_EU,PC_IND,EU27","10 ","9 ","8 ","7 ","6 ","8 ","6 ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"389","I_B3_12,CC_EXT_EU,PC_IND,EU28","10 ","9 ","8 ","7 ","6 ","8 ","6 ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"390","I_B3_12,CC_EXT_EU,PC_IND,FI",": u",": u",": u","25 u","11 u","12 u",": u","20 ",": ",": ",": ",": ",": ",": ",": ",": "
"391","I_B3_12,CC_EXT_EU,PC_IND,FR","15 ","16 ","11 ","8 ","11 ","23 ","13 ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"392","I_B3_12,CC_EXT_EU,PC_IND,HR",": u","15 u",": u","7 u",": u",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"393","I_B3_12,CC_EXT_EU,PC_IND,HU","13 ","18 ","9 ","12 ",": u","11 u",": u",": ",": ",": ",": ",": ",": ",": ",": ",": "
"394","I_B3_12,CC_EXT_EU,PC_IND,IE","9 ","27 ","8 ","7 ","12 ",": ","6 ","13 ",": ",": ",": ",": ",": ",": ",": ",": "
"395","I_B3_12,CC_EXT_EU,PC_IND,IS",": u",": ",": ","13 u","21 ",": u",": u",": u",": ",": ",": ",": ",": ",": ",": ",": "
"396","I_B3_12,CC_EXT_EU,PC_IND,IT","5 ","5 ","6 ","3 ","3 ",": u","2 ",": u",": ",": ",": ",": ",": ",": ",": ",": "
"397","I_B3_12,CC_EXT_EU,PC_IND,LT","7 ","7 u","9 ",": u","6 u","3 ","1 u",": u",": ",": ",": ",": ",": ",": ",": ",": "
"398","I_B3_12,CC_EXT_EU,PC_IND,LU","11 u","12 u","13 u","2 u","10 ","14 u","8 u","18 ",": ",": ",": ",": ",": ",": ",": ",": "
"399","I_B3_12,CC_EXT_EU,PC_IND,LV","10 ","8 b","8 ","7 ","7 ","5 ","6 ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"400","I_B3_12,CC_EXT_EU,PC_IND,MK",": ",": u",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"401","I_B3_12,CC_EXT_EU,PC_IND,MT",": u",": u",": u","7 u","11 u",": u",": u",": u",": ",": ",": ",": ",": ",": ",": ",": "
"402","I_B3_12,CC_EXT_EU,PC_IND,NL","9 u","8 ","5 u","13 u","0 u","7 u","23 u","19 u",": ",": ",": ",": ",": ",": ",": ",": "
"403","I_B3_12,CC_EXT_EU,PC_IND,NO","22 u","13 u","20 u","22 u","16 u","8 u","12 u","12 ",": ",": ",": ",": ",": ",": ",": ",": "
"404","I_B3_12,CC_EXT_EU,PC_IND,PL",": u",": u",": u",": u","4 ",": u",": u",": ",": ",": ",": ",": ",": ",": ",": ",": "
"405","I_B3_12,CC_EXT_EU,PC_IND,PT","6 ","6 ","3 ","10 ","13 ","7 ","9 ",": u",": ",": ",": ",": ",": ",": ",": ",": "
"406","I_B3_12,CC_EXT_EU,PC_IND,RO","2 u","2 ",": u",": bu",": u",": u",": u","0 ",": ",": ",": ",": ",": ",": ",": ",": "
"407","I_B3_12,CC_EXT_EU,PC_IND,RS",": u",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"408","I_B3_12,CC_EXT_EU,PC_IND,SE","22 u","6 bu","14 u","7 u","11 u","23 u","7 u","10 ",": ",": ",": ",": ",": ",": ",": ",": "
"409","I_B3_12,CC_EXT_EU,PC_IND,SI","8 ","6 u","10 u","5 u","0 u","2 u","2 u","0 ",": ",": ",": ",": ",": ",": ",": ",": "
"410","I_B3_12,CC_EXT_EU,PC_IND,SK",": u",": u",": u",": u",": ",": u",": u",": u",": ",": ",": ",": ",": ",": ",": ",": "
"411","I_B3_12,CC_EXT_EU,PC_IND,UK","7 ","2 ","3 ","8 ","5 ","5 ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"412","I_B3_12,CC_EXT_EU,PC_IND_ILT12,AT","12 ","23 ","29 ","3 u","5 ","24 u","7 u",": u",": ",": ",": ",": ",": ",": ",": ",": "
"413","I_B3_12,CC_EXT_EU,PC_IND_ILT12,BE","23 ","6 ","15 ","16 ","9 ","13 ","8 ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"414","I_B3_12,CC_EXT_EU,PC_IND_ILT12,BG","12 u",": u",": u","26 u","15 u","3 u","3 u","0 ",": ",": ",": ",": ",": ",": ",": ",": "
"415","I_B3_12,CC_EXT_EU,PC_IND_ILT12,CH","5 b",": ",": ","1 ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"416","I_B3_12,CC_EXT_EU,PC_IND_ILT12,CY","7 ","5 ","3 ","6 ","3 ","1 ","9 ","6 ",": ",": ",": ",": ",": ",": ",": ",": "
"417","I_B3_12,CC_EXT_EU,PC_IND_ILT12,CZ","15 u","16 ","17 u","16 u","29 u","13 u","25 u",": u",": ",": ",": ",": ",": ",": ",": ",": "
"418","I_B3_12,CC_EXT_EU,PC_IND_ILT12,DE","12 ","11 ","11 ","15 ","10 ","8 ","18 ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"419","I_B3_12,CC_EXT_EU,PC_IND_ILT12,DK","17 ","15 ","5 ","14 ","13 ","11 ",": ","17 ",": ",": ",": ",": ",": ",": ",": ",": "
"420","I_B3_12,CC_EXT_EU,PC_IND_ILT12,EA","12 ","13 ","12 ","9 ","9 ","14 ","10 ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"421","I_B3_12,CC_EXT_EU,PC_IND_ILT12,EE","14 ","12 ","10 ","9 b","6 ","3 ","3 ","3 ",": ",": ",": ",": ",": ",": ",": ",": "
"422","I_B3_12,CC_EXT_EU,PC_IND_ILT12,EL","3 ","15 ","15 ","6 ","4 ","2 u","4 ","1 ",": ",": ",": ",": ",": ",": ",": ",": "
"423","I_B3_12,CC_EXT_EU,PC_IND_ILT12,ES","11 ","11 ","9 ","9 ","9 ","10 ","6 ","7 ",": ",": ",": ",": ",": ",": ",": ",": "
"424","I_B3_12,CC_EXT_EU,PC_IND_ILT12,EU15","11 ","10 ","10 ","9 ","9 ","11 ","10 ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"425","I_B3_12,CC_EXT_EU,PC_IND_ILT12,EU27","12 ","10 ","10 ","9 ","9 ","11 ","10 ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"426","I_B3_12,CC_EXT_EU,PC_IND_ILT12,EU28","12 ","10 ","10 ","9 ","9 ","11 ","10 ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"427","I_B3_12,CC_EXT_EU,PC_IND_ILT12,FI",": u",": u",": u",": u",": u","12 u",": u",": ",": ",": ",": ",": ",": ",": ",": ",": "
"428","I_B3_12,CC_EXT_EU,PC_IND_ILT12,FR","18 ","20 ","15 ","12 ","16 ","36 ","20 ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"429","I_B3_12,CC_EXT_EU,PC_IND_ILT12,HR",": u",": u",": u",": u",": u",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"430","I_B3_12,CC_EXT_EU,PC_IND_ILT12,HU","17 ","23 ","11 ","15 ",": u","15 u",": u",": ",": ",": ",": ",": ",": ",": ",": ",": "
"431","I_B3_12,CC_EXT_EU,PC_IND_ILT12,IE","10 ","28 ","9 ","8 ","13 ",": ","7 ","14 ",": ",": ",": ",": ",": ",": ",": ",": "
"432","I_B3_12,CC_EXT_EU,PC_IND_ILT12,IS",": u",": ",": ","13 u","21 ",": u",": u",": u",": ",": ",": ",": ",": ",": ",": ",": "
"433","I_B3_12,CC_EXT_EU,PC_IND_ILT12,IT","7 ","8 ","10 ","6 ","5 ",": u","4 ",": u",": ",": ",": ",": ",": ",": ",": ",": "
"434","I_B3_12,CC_EXT_EU,PC_IND_ILT12,LT","8 u","8 u","13 u",": u",": u","4 ","1 u",": u",": ",": ",": ",": ",": ",": ",": ",": "
"435","I_B3_12,CC_EXT_EU,PC_IND_ILT12,LU","11 u","13 u","13 u","2 u","10 u","14 u","9 u","20 ",": ",": ",": ",": ",": ",": ",": ",": "
"436","I_B3_12,CC_EXT_EU,PC_IND_ILT12,LV","14 ","12 b","11 ","11 ","11 ","9 ","11 ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"437","I_B3_12,CC_EXT_EU,PC_IND_ILT12,MK",": ",": u",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"438","I_B3_12,CC_EXT_EU,PC_IND_ILT12,MT",": u",": u",": u","8 u","13 u",": u",": u",": u",": ",": ",": ",": ",": ",": ",": ",": "
"439","I_B3_12,CC_EXT_EU,PC_IND_ILT12,NL","9 u","9 u","7 u","15 u","0 u","7 u","24 u","20 u",": ",": ",": ",": ",": ",": ",": ",": "
"440","I_B3_12,CC_EXT_EU,PC_IND_ILT12,NO","23 u","14 u","20 u","22 u","17 u","8 u","12 u","13 ",": ",": ",": ",": ",": ",": ",": ",": "
"441","I_B3_12,CC_EXT_EU,PC_IND_ILT12,PL",": u",": u",": u",": u","5 ",": u",": u",": ",": ",": ",": ",": ",": ",": ",": ",": "
"442","I_B3_12,CC_EXT_EU,PC_IND_ILT12,PT","7 ","8 ","5 ","14 ","16 ","10 ","12 ",": u",": ",": ",": ",": ",": ",": ",": ",": "
"443","I_B3_12,CC_EXT_EU,PC_IND_ILT12,RO","2 u","3 u",": u",": b",": u",": u",": u","0 ",": ",": ",": ",": ",": ",": ",": ",": "
"444","I_B3_12,CC_EXT_EU,PC_IND_ILT12,RS",": u",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"445","I_B3_12,CC_EXT_EU,PC_IND_ILT12,SE","22 u","8 bu",": u","8 u","12 u","26 u","8 u","12 ",": ",": ",": ",": ",": ",": ",": ",": "
"446","I_B3_12,CC_EXT_EU,PC_IND_ILT12,SI","10 ","8 u","13 u","8 u",": u","4 u",": u","0 ",": ",": ",": ",": ",": ",": ",": ",": "
"447","I_B3_12,CC_EXT_EU,PC_IND_ILT12,SK",": u",": u",": u",": u",": ",": u",": ",": u",": ",": ",": ",": ",": ",": ",": ",": "
"448","I_B3_12,CC_EXT_EU,PC_IND_ILT12,UK","7 ","2 ","3 ","8 ","5 ","5 ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"449","I_B3_12,CC_FOR,PC_IND,AT","9 ","12 ","18 ","7 ","6 ","13 ","9 ","8 ",": ",": ",": ",": ",": ",": ",": ",": "
"450","I_B3_12,CC_FOR,PC_IND,BE","14 ","8 ","13 ","12 ","10 ","9 ","9 ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"451","I_B3_12,CC_FOR,PC_IND,BG","10 u","3 u","14 u","22 u","16 u","1 u","4 u","0 ",": ",": ",": ",": ",": ",": ",": ",": "
"452","I_B3_12,CC_FOR,PC_IND,CH","4 b",": ",": ","3 ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"453","I_B3_12,CC_FOR,PC_IND,CY","8 ","7 ","4 ","5 ","2 ","3 ","6 ","4 ",": ",": ",": ",": ",": ",": ",": ",": "
"454","I_B3_12,CC_FOR,PC_IND,CZ","22 ","17 ","15 ","12 ","27 ","12 ","15 ","6 ",": ",": ",": ",": ",": ",": ",": ",": "
"455","I_B3_12,CC_FOR,PC_IND,DE","10 ","10 ","10 ","10 ","9 ","8 ","12 ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"456","I_B3_12,CC_FOR,PC_IND,DK","14 ","12 ","7 ","12 ","11 ","12 ",": ","13 ",": ",": ",": ",": ",": ",": ",": ",": "
"457","I_B3_12,CC_FOR,PC_IND,EA","10 ","10 ","10 ","8 ","7 ","9 ","7 ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"458","I_B3_12,CC_FOR,PC_IND,EE","11 ","9 ","8 ","6 b","4 ","2 ","2 ","3 ",": ",": ",": ",": ",": ",": ",": ",": "
"459","I_B3_12,CC_FOR,PC_IND,EL","2 ","9 ","9 ","3 ","2 ","4 ","1 ","2 ",": ",": ",": ",": ",": ",": ",": ",": "
"460","I_B3_12,CC_FOR,PC_IND,ES","11 ","10 ","10 ","9 ","7 ","9 ","6 ","5 ",": ",": ",": ",": ",": ",": ",": ",": "
"461","I_B3_12,CC_FOR,PC_IND,EU15","10 ","9 ","9 ","8 ","8 ","8 ","7 ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"462","I_B3_12,CC_FOR,PC_IND,EU27","10 ","9 ","9 ","8 ","8 ","8 ","7 ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"463","I_B3_12,CC_FOR,PC_IND,EU28","10 ","9 ","9 ","8 ","8 ","8 ","7 ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"464","I_B3_12,CC_FOR,PC_IND,FI","4 u","18 u","8 u","16 u","10 u","12 u","9 u","18 ",": ",": ",": ",": ",": ",": ",": ",": "
"465","I_B3_12,CC_FOR,PC_IND,FR","14 ","14 ","13 ","9 ","11 ","17 ","12 ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"466","I_B3_12,CC_FOR,PC_IND,HR",": u","11 u",": u","4 u",": u",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"467","I_B3_12,CC_FOR,PC_IND,HU","13 ","17 ","6 ","12 ","6 u","6 ","15 u","6 ",": ",": ",": ",": ",": ",": ",": ",": "
"468","I_B3_12,CC_FOR,PC_IND,IE","10 ","25 ","8 ","8 ","11 ",": ","11 ","11 ",": ",": ",": ",": ",": ",": ",": ",": "
"469","I_B3_12,CC_FOR,PC_IND,IS","17 ",": ",": ","16 ","24 ","14 ","14 ",": u",": ",": ",": ",": ",": ",": ",": ",": "
"470","I_B3_12,CC_FOR,PC_IND,IT","6 ","6 ","7 ","4 ","3 ",": u","2 ",": u",": ",": ",": ",": ",": ",": ",": ",": "
"471","I_B3_12,CC_FOR,PC_IND,LT","11 ","7 u","9 ","1 ","3 u","2 ","4 u",": u",": ",": ",": ",": ",": ",": ",": ",": "
"472","I_B3_12,CC_FOR,PC_IND,LU","11 ","10 ","14 ","11 ","11 ","11 ","12 ","13 ",": ",": ",": ",": ",": ",": ",": ",": "
"473","I_B3_12,CC_FOR,PC_IND,LV","10 ","8 b","8 ","7 ","7 ","5 ","6 ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"474","I_B3_12,CC_FOR,PC_IND,ME","2 u",": ",": ",": ",": ","1 ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"475","I_B3_12,CC_FOR,PC_IND,MK",": u",": u",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"476","I_B3_12,CC_FOR,PC_IND,MT","5 u","0 u","9 u","8 ","11 ","5 u","22 u","8 ",": ",": ",": ",": ",": ",": ",": ",": "
"477","I_B3_12,CC_FOR,PC_IND,NL","7 ","9 ","12 ","12 ","5 ","14 ","18 ","15 ",": ",": ",": ",": ",": ",": ",": ",": "
"478","I_B3_12,CC_FOR,PC_IND,NO","15 ","12 ","15 ","19 ","13 ","12 ","11 ","17 ",": ",": ",": ",": ",": ",": ",": ",": "
"479","I_B3_12,CC_FOR,PC_IND,PL",": u",": u",": u","8 u","5 ","13 u",": u",": ",": ",": ",": ",": ",": ",": ",": ",": "
"480","I_B3_12,CC_FOR,PC_IND,PT","5 ","8 ","4 ","11 ","10 ","7 ","10 ",": u",": ",": ",": ",": ",": ",": ",": ",": "
"481","I_B3_12,CC_FOR,PC_IND,RO","2 u","2 ",": u",": bu",": u",": u",": u","0 ",": ",": ",": ",": ",": ",": ",": ",": "
"482","I_B3_12,CC_FOR,PC_IND,RS","0 u",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"483","I_B3_12,CC_FOR,PC_IND,SE","17 ","9 b","10 u","8 ","10 ","16 u","9 ","15 ",": ",": ",": ",": ",": ",": ",": ",": "
"484","I_B3_12,CC_FOR,PC_IND,SI","7 ","5 ","9 ","7 ","0 u","2 u","5 u","0 ",": ",": ",": ",": ",": ",": ",": ",": "
"485","I_B3_12,CC_FOR,PC_IND,SK",": u",": u",": u",": u",": u",": u",": u","16 ",": ",": ",": ",": ",": ",": ",": ",": "
"486","I_B3_12,CC_FOR,PC_IND,UK","8 ","3 ","4 ","8 ","10 ","6 ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"487","I_B3_12,CC_FOR,PC_IND_ILT12,AT","9 ","14 ","20 ","8 ","7 ","16 ","11 ","10 ",": ",": ",": ",": ",": ",": ",": ",": "
"488","I_B3_12,CC_FOR,PC_IND_ILT12,BE","17 ","9 ","15 ","15 ","14 ","12 ","11 ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"489","I_B3_12,CC_FOR,PC_IND_ILT12,BG","11 u",": u","16 u","23 u","17 u","2 u","5 u","0 ",": ",": ",": ",": ",": ",": ",": ",": "
"490","I_B3_12,CC_FOR,PC_IND_ILT12,CH","4 b",": ",": ","3 ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"491","I_B3_12,CC_FOR,PC_IND_ILT12,CY","9 ","8 ","5 ","6 ","3 ","4 ","9 ","8 ",": ",": ",": ",": ",": ",": ",": ",": "
"492","I_B3_12,CC_FOR,PC_IND_ILT12,CZ","23 ","19 ","18 ","14 ","32 ","14 ","18 ","8 ",": ",": ",": ",": ",": ",": ",": ",": "
